question,answer
السلام عليكم,وعليكم السلام ورحمة الله، هلا بك يا حيي!كيف أقدر أساعدك؟
مرحبا,وعليكم السلام ورحمة الله، هلا بك يا حيي!كيف أقدر أساعدك؟
هلا,وعليكم السلام ورحمة الله، هلا بك يا حيي!كيف أقدر أساعدك؟
أهلاً,وعليكم السلام ورحمة الله، هلا بك يا حيي! كيف أقدر أساعدك؟
صباح الخير,صباح النور، يسعدنا تواصلك! كيف نقدر نخدمك؟
مساء الخير,مساء النور، كيف نقدر نخدمك؟
وش الخدمات اللي تقدمونها,حنا نقدم خدمات بيع وتأجير الشاشات الذكية بكافة أنواعها ومقاساتها قل لي اللي تبي وابشر اساعدك
وش عندكم,حنا نوفر شاشات ذكية مختلفة للتأجير والبيع مع خدمة التوصيل والتركيب فل لي وش تبي وابشر اساعدك
تشتغلون على ايش,نشتغل على توفير حلول ذكية للشاشات للفعاليات والمعارض والمؤتمرات بس امرني وبساعدك
عندكم تأجير ولا بيع,نعم، نقدم كل الخدمتين: البيع والتأجير بس امر
كم أسعار الشاشات,تختلف الأسعار حسب نوع وحجم الشاشة، تواصل معنا لتفاصيل أكثر
بكم التأجير,يعتمد على نوع الشاشة ومدة التأجير، ابشر نرسل لك الأسعار الآن
كم مدة التأجير,نأجر يوميًا، أسبوعيًا، وشهريًا حسب طلبك بس امر
بأجر اسبوع,اكيد!حياك الله تقدر تأجر لاسبوع واكثر
اقدر اشتري,ايه نعم، تقدر تشتري وتاجر حسب اللي يناسبك بس امر
الشاشة للبيع,نعم، تتوفر الشاشات للبيع والتأجير بس امر
الشاشة تشتغل باللمس,ايه نعم تدعم اللمس، تواصل معنا نحدد لك الأنسب
وش اكبر حجم عندكم,نوفر شاشات توصل إلى (١٠٠) إنش حسب التوفر
توصلون الشاشات,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
يركبونها مع الطلب,التوصيل داخل حايل مجاني، أما خارج حايل فيه رسوم شحن حسب المنطقة.
كيف اطلب,تقدر تطلب عن طريق الواتس أو تتواصل معنا مباشرة ونجهز لك الطلب
ابي استاجر وش الطريقة,أرسل لنا نوع الشاشة والمدة، وراح نخدمك فورًا ابشر
كيف أتواصل معكم,تقدر تتواصل معنا عبر الواتس أو الانستقرام أو الاتصال المباشر
